Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/19/1973,0.00581561260890454,-0.629283731105502,0.175541179449798,-2.47626401059546,1.35582868175305,-0.139696654178336
01/26/1973,0.153309034470619,-0.446321718327792,0.326363964173139,-2.48573441450908,1.43874911034245,-0.132605402469828
02/02/1973,0.318244783096598,-0.135537088774062,0.494361053479802,-2.49597619150179,1.51994219034881,-0.125409602369187
02/09/1973,0.489906075528143,0.27408813786055,0.668786204892253,-2.50662597037403,1.59866075787813,-0.117989514614347
02/16/1973,0.656086369596056,0.71898020000932,0.83781908112247,-2.51640557242971,1.67411586002167,-0.110233900317135
02/23/1973,0.806620812975047,1.12114272891099,0.991365191561423,-2.52455853174792,1.745808449772,-0.102037855925539
03/02/1973,0.932185855670618,1.40490586659298,1.12019859166839,-2.53019306258019,1.81340975716717,-0.0933033665654983
03/09/1973,1.02760273337217,1.52685256226342,1.21913078646984,-2.5326807951761,1.87673342626084,-0.0839371556271442
03/16/1973,1.09080008988152,1.48450313463756,1.28591068471079,-2.53158344448675,1.93585171678799,-0.0738490886369573
03/23/1973,1.12598081740971,1.32472606618533,1.3244368486109,-2.52676599901784,1.99088132549664,-0.0629515605117127
03/30/1973,1.13811428056467,1.11779206384881,1.3393914384269,-2.51827234461381,2.04200290956618,-0.0511619857805193
04/06/1973,1.13217855666157,0.935090914364743,1.33558847773266,-2.5063403428596,2.08936103881916,-0.0383965809983636
04/13/1973,1.1160442650695,0.835752992591915,1.3207067500066,-2.49091730780844,2.13310193405199,-0.0245728173116069
04/20/1973,1.09494959114874,0.838785070754401,1.29985689018803,-2.47244267992581,2.17322849470973,-0.00962662514480524
04/27/1973,1.07328785434746,0.922065170986005,1.27768530119943,-2.45027272815941,2.20968553809426,0.0064986473703211
05/04/1973,1.05279783073556,1.02973451691952,1.25601570748431,-2.42368792060534,2.24236928488496,0.0238442147445134
05/11/1973,1.03562138788048,1.09895070256726,1.2372278837593,-2.392294269266,2.27109158389274,0.0424271735778098
05/18/1973,1.02169127902427,1.07523310844969,1.2215381521046,-2.35447088983906,2.2957687158865,0.0622363778076911
05/25/1973,1.0123001536675,0.941718390566786,1.21037181015648,-2.30933057965678,2.31641928223459,0.083227940878198
06/01/1973,1.00952860598168,0.726999037284747,1.20582726639346,-2.25585448375987,2.33319180449905,0.1053175891952
06/08/1973,1.01634146908765,0.496039380179149,1.21078719199013,-2.19341438717249,2.34634795445198,0.128380630035839
06/15/1973,1.0355209108816,0.328199324856749,1.22781911011044,-2.12175892837841,2.35635935268461,0.152246672753147
06/22/1973,1.07024367203036,0.29174001690728,1.25984898026971,-2.04112987353484,2.36369337325927,0.176703260118882
06/29/1973,1.12321330459652,0.422327917851515,1.30924442275854,-1.95211205606297,2.36888864320255,0.201504223915767
07/06/1973,1.19462466926174,0.705890581007361,1.37590045881893,-1.85554329050821,2.37242186457048,0.226395541977118
07/13/1973,1.28523395955072,1.08434851006096,1.4603338675745,-1.75231342945117,2.37475107990953,0.25107259426191
07/20/1973,1.39132419346026,1.46882242044845,1.5588351489536,-1.64394552609707,2.37617844188958,0.275287360029535
07/27/1973,1.51008911980801,1.77464465268683,1.6685391753712,-1.53085173848793,2.37693257867342,0.298808089227919
08/03/1973,1.63504774328529,1.94415382306473,1.78307899152219,-1.41370772334261,2.37714542185714,0.321441382154879
08/10/1973,1.76092194055815,1.97348730761309,1.89773282813891,-1.29388430410376,2.37690176460873,0.3430391954672
08/17/1973,1.88148068196545,1.9075634177773,2.00635026869213,-1.17127409595784,2.37627399409925,0.363500084057877
08/24/1973,1.99167352348105,1.82651891519463,2.10448601178305,-1.04712032767396,2.37538083123354,0.382761721424421
08/31/1973,2.08457686193047,1.80365131637688,2.1856961858409,-0.922580149221254,2.37443184958727,0.400797341047462
09/07/1973,2.15419963068607,1.87941274357918,2.24438772596503,-0.799256463868711,2.37368203887433,0.417607662380962
09/14/1973,2.19731597524058,2.04640281860583,2.27762109786463,-0.679215049355544,2.37354584017227,0.433213897850341
09/21/1973,2.21314201210791,2.24241615939818,2.28463273323433,-0.564743893713214,2.37435192735285,0.44765350149005
09/28/1973,2.20282787961218,2.37148897926769,2.26648589205444,-0.458276145615274,2.3764073027063,0.460971487193742
10/05/1973,2.16849176441651,2.34361259952227,2.22522786409351,-0.362149703321286,2.37991806634727,0.473222443187274
10/12/1973,2.11980787919531,2.12187662041483,2.17021126465148,-0.278470150902068,2.38498128605461,0.484464848349533
10/19/1973,2.06379884016848,1.72929401510341,2.10797978621883,-0.20864263209734,2.39150929065211,0.494772506195222
10/26/1973,2.01115204626707,1.26851112060434,2.04937486266701,-0.153252421189375,2.39930042696541,0.504220141820199
11/02/1973,1.96863167405619,0.872825010213654,2.00127983319823,-0.112193984988315,2.40798283630033,0.512894061509746
11/09/1973,1.94095144660372,0.666106085313123,1.96846970108155,-0.0848880160381555,2.41715925418704,0.520886997569982
11/16/1973,1.92778590527842,0.715446027995883,1.95132086883967,-0.0695637814725936,2.42633117893136,0.528296167376802
11/23/1973,1.92220076199598,0.993310765442407,1.94344631304084,-0.0648793748464183,2.43513066812615,0.535219099773638
11/30/1973,1.91313648092368,1.39617657463512,1.93427105880077,-0.0691121787707814,2.44329064717299,0.541750645358644
12/07/1973,1.88726791422403,1.77449691683349,1.91077402720108,-0.0807805700022382,2.45073193387208,0.547977912745177
12/14/1973,1.83395419227588,1.9891022706133,1.86227769464892,-0.0986184529812399,2.45754969267895,0.55397615696201
12/21/1973,1.74504459472833,1.95791179870661,1.78027618161665,-0.12168621188097,2.46403123332909,0.559804745538847
12/28/1973,1.61795819814765,1.67931420891547,1.6615203459538,-0.149272871754695,2.47062585228406,0.565504933632733
01/04/1974,1.45346987325526,1.22147445777907,1.50604217677425,-0.180770529403375,2.47786849294378,0.571101746375627
01/11/1974,1.26382672836514,0.709452483072791,1.32503182615438,-0.215577474145533,2.48641191002679,0.576597111747451
01/18/1974,1.06050546293616,0.259730936394773,1.12917376364077,-0.252940553060441,2.49674892800866,0.581980387656397
01/25/1974,0.857903060837033,-0.0532655928454419,0.932802679296421,-0.291876437346985,2.50930305196208,0.587223600025277
02/01/1974,0.671457449942538,-0.207523361522885,0.751195535181587,-0.330900345434412,2.52434111619069,0.592286790565701
02/08/1974,0.514275982183794,-0.244203437108391,0.597656042279841,-0.368561165566578,2.54197510884509,0.597116694405567
02/15/1974,0.39671571708898,-0.235839258254698,0.483290839346162,-0.402810726277631,2.5620722252654,0.601649098788261
02/22/1974,0.326374862799986,-0.246284761001373,0.416130002669163,-0.432033059748502,2.58442550276278,0.605808453947432
03/01/1974,0.306814431984302,-0.31415662365803,0.400088308148331,-0.454515001868667,2.60866204356127,0.609508913433697
03/08/1974,0.33936720212581,-0.431132851947246,0.436679925059688,-0.4690775339887,2.6343245590027,0.61265345395576
03/15/1974,0.422710226698496,-0.547076663275345,0.52443927505054,-0.474904978042722,2.66083338339934,0.61513356403429
03/22/1974,0.553263880087598,-0.592461570890428,0.659476362453663,-0.471791994729135,2.68758076472606,0.616829807267534
03/29/1974,0.725952974868982,-0.503269803444735,0.836183929992621,-0.459975652261303,2.71393504754775,0.617616370786138
04/05/1974,0.93531394562174,-0.24426253814212,1.04867877518361,-0.440036113370951,2.73927441246299,0.617358709551172
04/12/1974,1.17819469508504,0.177069772638003,1.29318342396424,-0.412598235305995,2.76288018162666,0.615913553425982
04/19/1974,1.44867404259315,0.706189457971985,1.56417690592845,-0.37906804677298,2.7841696576317,0.613151196641519
04/26/1974,1.74361335592392,1.26169480842974,1.85838429153139,-0.33963128834656,2.80260572059849,0.608946993154589
05/03/1974,2.05876846423225,1.75342724948312,2.17202044635254,-0.294556332221602,2.81770985884912,0.603189837325849
05/10/1974,2.39205094728035,2.13097133987585,2.50397052802354,-0.244587987006629,2.82907089037894,0.595791357839768
05/17/1974,2.73943702884206,2.38034223638799,2.85069316912678,-0.189158664336924,2.83633742617884,0.586691770994945
05/24/1974,3.09268931036728,2.53895365589766,3.20466710636942,-0.128537883352839,2.83920969889864,0.57586470654727
05/31/1974,3.44539469350611,2.69419000585823,3.55987619579478,-0.0629574110331929,2.83742783651393,0.563324765119289
06/07/1974,3.78761964179729,2.93849382467144,3.90646224418848,0.00688459145584015,2.8307566354634,0.549128568755873
06/14/1974,4.10674999325272,3.33370234368783,4.23144810551337,0.0799495444249909,2.81899721610477,0.533380481562896
06/21/1974,4.39101904750513,3.8801695110645,4.52246006157391,0.154651756660919,2.80191759148528,0.516231367674114
06/28/1974,4.62677380491085,4.50160211607454,4.76482362887389,0.229241549795722,2.77931310735692,0.49787145670052
07/05/1974,4.80188913929332,5.06509084177324,4.94548150538209,0.301994632202209,2.75094488701599,0.478510770968852
07/12/1974,4.91037412744871,5.436684152657,5.05710966643249,0.371301472908827,2.71650823377161,0.458416391848026
07/19/1974,4.95199208484587,5.52260809230908,5.09881838244921,0.43552689597283,2.67581457952343,0.437823935323632
07/26/1974,4.93441476727213,5.30891834339313,5.07737901031778,0.494997475986269,2.62865592055927,0.41697067123996
08/02/1974,4.87003138153568,4.86612471823179,5.00522457353491,0.549952355918402,2.57482714923409,0.396078425392263
08/09/1974,4.77066866657482,4.31496545025405,4.89425838328589,0.600835831972735,2.51423217925172,0.375347316072385
08/16/1974,4.65359658764567,3.8114061304513,4.76251944867053,0.649721647156333,2.44685771738412,0.354953497048956
08/23/1974,4.52764883521819,3.47559803188292,4.61983982863201,0.697475196206339,2.37274189648107,0.335053732125951
08/30/1974,4.40126722589582,3.37316405532506,4.47579441455875,0.744894102838693,2.29206853202958,0.315785790054769
09/06/1974,4.2746984359877,3.48552371747906,4.33176827762126,0.792039137622617,2.20522182546038,0.297273148615841
09/13/1974,4.14594941707128,3.72326515779387,4.18685304903728,0.83812314830253,2.11268585951403,0.279628535326651
09/20/1974,4.01184271559519,3.94970800406605,4.03851527808112,0.881544116917144,2.01525157567682,0.26295312537468
09/27/1974,3.86378611651157,4.01996402273395,3.87852394558381,0.920155264214699,1.91389394661834,0.247337750181141
10/04/1974,3.69887682777275,3.84549952382291,3.70406833757184,0.951557798108926,1.80959653243401,0.232864900087302
10/11/1974,3.51616234387449,3.41580453640171,3.51369724451765,0.973282749575748,1.70372095040083,0.219605884601232
10/18/1974,3.3248397560594,2.82441166294336,3.31613417844457,0.983245370848087,1.59724088505728,0.207597810045651
10/25/1974,3.1348183460655,2.21150163379474,3.1206654025508,0.980646768723966,1.49103943753247,0.196860310765235
11/01/1974,2.95689796465994,1.72421416177069,2.93798035851787,0.964985130998972,1.38576438493823,0.187381236492006
11/08/1974,2.8017417347496,1.4714978748351,2.77832490636658,0.93652970833203,1.28182053203022,0.179110434770193
11/15/1974,2.6753319950382,1.47725627888272,2.64827376629677,0.896589756901367,1.17928950415529,0.171957540213861
11/22/1974,2.57553051285816,1.68690029672069,2.54616988972288,0.846024716250715,1.07814100249885,0.165789672764444
11/29/1974,2.4994524257311,1.99984129846156,2.4698572322708,0.785894523323674,0.978175587015639,0.160427283747995
12/06/1974,2.43654444903436,2.29041343380169,2.40935473946778,0.716971893727045,0.879193746985979,0.15564622824378
12/13/1974,2.37480252074966,2.45140251288137,2.35305407111854,0.639660647771414,0.780977134280126,0.151174789856613
12/20/1974,2.30448362374453,2.4307601777525,2.29130994496561,0.553871110416173,0.683394897208542,0.14669757367333
12/27/1974,2.21410318645033,2.22464950304239,2.21234851596454,0.459313098224775,0.586462040304378,0.141871638755206
01/03/1975,2.09926864126221,1.88731173052559,2.11109302072085,0.355746720224842,0.49025973148205,0.136340696471868
01/10/1975,1.95801265729559,1.49909065405489,1.98486098531815,0.242776504891181,0.395030255086378,0.129699277699849
01/17/1975,1.79622491958243,1.14545019351194,1.83852443726462,0.120626646155375,0.300896494106617,0.121608591728698
01/24/1975,1.62135857764903,0.888673521297755,1.67923619438138,-0.0100737431931776,0.20805174779739,0.111751866721088
01/31/1975,1.4423040581151,0.744341320915951,1.51592657033164,-0.148213645443831,0.116581593734924,0.0998576366786196
02/07/1975,1.26720606798177,0.685299766666074,1.35651392840204,-0.292095033677403,0.0265216938774718,0.0857192050097908
02/14/1975,1.10481028811221,0.665292439885174,1.21102017921344,-0.43979339558931,-0.0621765066191402,0.0692013390584944
02/21/1975,0.95739830355572,0.626583463752983,1.08215638116338,-0.589188827499386,-0.149524833239394,0.0502399360088611
02/28/1975,0.826595088417115,0.533993844919929,0.972181798743177,-0.738096272880084,-0.235596158844664,0.0288495409760373
03/07/1975,0.71141151366934,0.390251043241197,0.879990421179837,-0.884349621217033,-0.32033444431632,0.00511719899581807
03/14/1975,0.609177915040176,0.223733022789035,0.802459664667892,-1.0260905517879,-0.403674074694058,-0.020796406960132
03/21/1975,0.516637981476839,0.0781667629271819,0.735154463440974,-1.16171116690842,-0.485415736649359,-0.0486653594132924
03/28/1975,0.429190822050949,-0.0110265711362311,0.671868315811953,-1.28995354187943,-0.565240552177263,-0.0782131376339111
04/04/1975,0.3430096957238,-0.0338116998911355,0.607025916612564,-1.40978870186291,-0.642773344766167,-0.109149720488501
04/11/1975,0.255680063370803,-0.00621187140258078,0.536651276826034,-1.52080332819887,-0.717535022113967,-0.141119253604635
04/18/1975,0.167117556409827,0.0363648590506405,0.459074659145498,-1.6224556216668,-0.789089163373994,-0.173821809474318
04/25/1975,0.076950893775749,0.0505481174500277,0.374033218083722,-1.71475883003445,-0.857002213522751,-0.206976799521605
05/02/1975,-0.0116608654075466,0.00856386400656529,0.284891969380969,-1.79746843331387,-0.920897884320089,-0.240341667762329
05/09/1975,-0.0967384608454688,-0.102447331910598,0.194637097313451,-1.87100267715666,-0.980487336909167,-0.273718646483821
05/16/1975,-0.174972351948376,-0.265139790968959,0.108533824401596,-1.93522233636899,-1.03557210727814,-0.306955295907561
05/23/1975,-0.245252574187957,-0.447077833159591,0.0293615569957901,-1.99059637925912,-1.08604866566964,-0.339934487513394
05/30/1975,-0.30414226230366,-0.603113137804008,-0.0376934074195663,-2.03765246179492,-1.13193672176889,-0.372566157125016
06/06/1975,-0.351296140597046,-0.69864515537779,-0.0910528471836674,-2.07712891990448,-1.1733088131178,-0.404779198762702
06/13/1975,-0.38705020900758,-0.717576593194891,-0.130211444623785,-2.11003467146893,-1.21037949840743,-0.436510288333628
06/20/1975,-0.412915343401804,-0.669336636712664,-0.156469152653985,-2.13759790127617,-1.24341868787833,-0.467700855111811
06/27/1975,-0.430234438807477,-0.579895425032139,-0.171750098645626,-2.16095380031462,-1.27272965671166,-0.498287696075643
07/04/1975,-0.440850029777904,-0.488007894702715,-0.178823681718124,-2.18104354911204,-1.29871763570936,-0.528219950303521
07/11/1975,-0.446801188734163,-0.430051872013534,-0.18078757024217,-2.19884814741382,-1.32189066720974,-0.557426831101346
07/18/1975,-0.448741191388319,-0.425363182949183,-0.179737088425399,-2.21466606716986,-1.34277972742763,-0.58587806971036
07/25/1975,-0.446303010205133,-0.470442479531314,-0.175681412937978,-2.22854033181579,-1.36197761717186,-0.613546868577951
08/01/1975,-0.438747248704141,-0.546814026089815,-0.168504287416099,-2.23970736236433,-1.38011586747355,-0.640429766461639
08/08/1975,-0.424787287944088,-0.623252044959954,-0.156916981377117,-2.24776627142437,-1.39781739177592,-0.666539389557747
08/15/1975,-0.403809899526676,-0.672166311560984,-0.139974293756544,-2.25098735432754,-1.41574896683837,-0.691900718163741
08/22/1975,-0.375482548956144,-0.676256496062164,-0.116892993660844,-2.24863925026559,-1.43446199077708,-0.716541221045493
08/29/1975,-0.340014763895447,-0.633857617209538,-0.0873692330971194,-2.24001038318056,-1.45440676632935,-0.740483518093039
09/05/1975,-0.299109362887981,-0.55733299019171,-0.0525851300637924,-2.22508983126368,-1.47593910707189,-0.76373766580203
09/12/1975,-0.254257165968771,-0.465409598651986,-0.0136969840741182,-2.20454327404173,-1.49924378366386,-0.786291822296493
09/19/1975,-0.207698202365739,-0.382087615054503,0.0270865549501676,-2.17968286457463,-1.52436560957544,-0.808110740025495
09/26/1975,-0.16271895747245,-0.329045902280701,0.0663671325687012,-2.15233791093676,-1.55126035030374,-0.829133172884074
10/03/1975,-0.120960096641043,-0.312608468659208,0.10239352343108,-2.12469667040377,-1.579801026091,-0.849289510669064
10/10/1975,-0.0860132662660322,-0.33046673238777,0.131353296225909,-2.09915570206598,-1.60972748274122,-0.868470008473841
10/17/1975,-0.0587837393785405,-0.366549977833263,0.152001851711639,-2.07757614982363,-1.6408117600044,-0.886598312599635
10/24/1975,-0.0401052748528941,-0.398741800683414,0.16382736163331,-2.06130493910671,-1.67278600239983,-0.903593861546527
10/31/1975,-0.0307958408137675,-0.410201426918582,0.166131284354108,-2.05084361724772,-1.70541169234999,-0.919398280795362
11/07/1975,-0.032673794485714,-0.397565383684257,0.157326933363061,-2.04626215331962,-1.73849183002096,-0.933975010565854
